Restaurant Name,Most Popular Category,Rating,Cost for two,Area,Locality,Address,Veg,Long Distance Delivery
Babbu Plaza Restaurant,Biryani,3.7,250,Sadar,"Sadar,Anjuman Complex","Anjuman Complex, Sadar, Nagpur",FALSE,0
Culcatta Rolls Chinese Center,Fast Food,2.5,200,Dharampeth,Dharampeth,"Traffic Park Dharampeth Nagpur,sity ground, Nagpur",FALSE,0
New Singhs Grills & Chinese,Multi-cuisine,2.6,400,Nandanvan,Nandanvan,PLOT NO 4 HANUMAN NAGAR MEDICAL ROAD NAGPUR ZONE NO 5 HANUMANNAGAR NAGPUR URBAN NAGPUR 1 MAHARASHTRA-440009,FALSE,0
Cafe John,South Indian,4.2,250,Sadar,Sadar,"Kamptee Rd, Gaddigodam Square, Sadar, Nagpur",FALSE,0
Keventers - Milkshakes and Desserts,Beverages,4.1,300,Civil Lines,Indo Unique Plaza,"Ground Floor, Indo Unique Plaza,Plot no: 333/5/1 Ghatate Layout,Nr Bhole Petrol Pump,Civil Lines Road, Dharampeth,Nagpur - 440001",TRUE,0
Ya Taj Hotel,Multi-cuisine,3.2,400,Ayodhya Nagar,Ayodhya Nagar,"Somwari Quater, ESI Hospital, Sant Ravi Das Chatralaya, Hanuman Nagar, Near Ayodhya Nagar, Nagpur",FALSE,0
Amazing Blazing Cakes,Bakery,4.6,300,Dharampeth,Dharampeth,"4-1, Near Akankar Theatre, Pratibha Sankul  App. Bhagwagar Lay-out,Dharampeth- 440010",FALSE,0
Starbucks Coffee,Beverages,4.2,400,Dharampeth,Dharampeth,"Neev Malika Apartment, 5th Cross B St, Dharampeth Extension, Dharampeth, Nagpur, Maharashtra 440010",FALSE,0
Tandoori Chaska,North Indian,4.3,650,Mahal,nandanvan,"Tandoori Chaska Family Restaurant,  Apsara Square,  opposite Reshmbag Ground, Reshmbag",FALSE,0
Hotel Mahek,Biryani,3.8,150,Sadar,Sadar,"NMC Complex, Mangalwari Bazar, Sadar, Nagpur",FALSE,0
Suryakant Saoji,Maharashtrian,3.9,300,Telephone Exchange Square,Telephone exchange square,"Telephone Exchange Chowk, Old Mangalwari, Nagpur",FALSE,0
Calcutta Rolls Chinese Center,Fast Food,2.7,100,Gokulpeth,traffic park,"Near Tanga Stand, Traffic park ,dharampeth",FALSE,0
Arabian Taj - Sadar,North Indian,4,200,Indora Chowk,Indora Chowk,"Mangalwari Complex, Sadar, Nagpur",FALSE,0
Reddy's Gokul Brindavan Restaurant,South Indian,4.5,150,Dharampeth,Dharampeth,"WHC Road, Laxminagar, Dharampeth, Nagpur",TRUE,0
Hotel Sujal Saoji,Maharashtrian,3.4,200,Ramdaspeth,Bajaj Nagar,"Plot No.201, Central Bazar Road, Bajaj Nagar, Nagpur",FALSE,0
Donuts And Desserts,Desserts,4.6,200,Gandhibagh,Itwari,"Tipre Lane, Hansapuri, Nagpur, Maharashtra, India",FALSE,0
Little Italy,Pizza,3.6,850,Civil Lines,Civil Lines,"Plot No.1, Civil Lines, Near MLA Hostel, Nagpur, Maharashtra 440001, India",TRUE,0
Haldiram's Abhinandan Restaurant,Multi-cuisine,4,300,Itwari,Gandhibagh,"Near Itwari Post Office, City Road, Itwari, Gandhibagh, Nagpur",TRUE,0
Drink n Dream,Beverages,4.6,200,Jaripatka,Jaripatka,"HOUSE NO 383,DHARAMPETH,TANGA STAND ,NAGPUR, Nagpur (Urban), Nagpur, , Maharashtra, 440010",TRUE,0
Hide Out The Street Cafe,Fast Food,3.8,250,Bajaj Nagar,Bajaj Nagar,"Central Bazar Road, Bajaj Nagar, Nagpur, Maharashtra 440010, India",FALSE,0
